year,tier_region,total_counts,climate_prop,health_prop,intersection_prop
1970,Tier 2,3,0,1,0
1971,Tier 2,4,0,1,0
1972,Tier 2,3,0,1,0
1973,Tier 2,1,0,1,0
1974,Tier 2,1,0,1,0
1976,Tier 2,1,0,1,0
1977,Tier 2,4,0.25,0.75,0
1978,Tier 2,3,0.33,0.67,0
1979,Tier 2,3,0,1,0
1980,Tier 2,1,0,1,0
1981,Tier 2,2,0,1,0
1982,Tier 2,2,0,1,0
1983,Tier 2,2,0,1,0
1984,Tier 2,4,0,1,0
1985,Tier 2,6,0,1,0
1986,Tier 2,4,0,1,0
1987,Tier 2,4,0,1,0
1988,Tier 2,5,0.4,1,0
1989,Tier 2,6,0.67,0.67,0
1990,Tier 2,4,0.5,0.75,0.25
1991,Tier 2,1,1,0,0
1992,Tier 2,3,0.33,0.67,0
1993,Tier 2,2,0,1,0
1994,Tier 2,4,0.25,1,0
1995,Tier 2,7,0.14,1,0
1996,Tier 2,4,0.5,0.75,0.25
1997,Tier 2,6,0.83,0.5,0
1998,Tier 2,5,0.4,0.6,0
1999,Tier 2,8,0.25,1,0.12
2000,Tier 2,5,0.4,0.8,0
2001,Tier 2,6,0.33,1,0
2002,Tier 2,5,0.6,0.6,0.2
2003,Tier 2,4,0.25,1,0
2004,Tier 2,4,0.5,1,0
2005,Tier 2,6,0.5,0.83,0.33
2006,Tier 2,8,0.25,1,0.12
2007,Tier 2,9,0.89,0.56,0.11
2008,Tier 2,9,1,0.56,0.11
2009,Tier 2,9,1,0.78,0.33
2010,Tier 2,9,1,0.56,0.33
2011,Tier 2,7,0.86,0.57,0.14
2012,Tier 2,7,1,0.57,0
2013,Tier 2,7,0.71,0.71,0.14
2014,Tier 2,8,0.75,1,0.12
2015,Tier 2,9,1,0.44,0.11
2016,Tier 2,9,1,0.44,0.11
2017,Tier 2,9,0.89,0.67,0.11
2018,Tier 2,9,0.89,0.56,0.22
2019,Tier 2,8,0.75,1,0.38
2020,Tier 2,9,0.67,1,0.33
2021,Tier 2,9,1,1,0.67
1970,Tier 1,1,0,1,0
1971,Tier 1,1,0,1,0
1972,Tier 1,2,0,1,0
1973,Tier 1,1,0,1,0
1974,Tier 1,2,0,1,0
1975,Tier 1,1,0,1,0
1976,Tier 1,1,0,1,0
1978,Tier 1,1,1,1,0
1979,Tier 1,1,1,1,0
1980,Tier 1,1,0,1,0
1981,Tier 1,1,0,1,0
1982,Tier 1,1,0,1,0
1984,Tier 1,1,0,1,0
1985,Tier 1,1,0,1,0
1986,Tier 1,1,0,1,0
1987,Tier 1,1,0,1,0
1988,Tier 1,2,0,1,0
1989,Tier 1,1,1,1,0
1991,Tier 1,1,0,1,0
1992,Tier 1,1,1,0,0
1993,Tier 1,1,0,1,0
1994,Tier 1,1,0,1,0
1995,Tier 1,1,0,1,0
1996,Tier 1,1,1,1,0
1997,Tier 1,1,1,1,0
1998,Tier 1,1,0,1,0
1999,Tier 1,1,1,1,1
2000,Tier 1,1,1,1,0
2001,Tier 1,1,0,1,0
2002,Tier 1,1,0,1,0
2003,Tier 1,2,0,1,0
2004,Tier 1,1,0,1,0
2005,Tier 1,2,0,1,0
2007,Tier 1,2,1,0.5,0.5
2008,Tier 1,2,0.5,1,0.5
2009,Tier 1,2,1,1,1
2010,Tier 1,1,1,1,0
2011,Tier 1,1,1,1,1
2013,Tier 1,2,1,1,0
2014,Tier 1,2,1,1,0.5
2015,Tier 1,2,1,0.5,0
2016,Tier 1,2,1,1,0
2017,Tier 1,2,0.5,0.5,0
2018,Tier 1,1,1,0,0
2019,Tier 1,1,1,1,0
2020,Tier 1,2,1,1,0.5
2021,Tier 1,2,1,1,0.5
1970,SIDS,2,0,1,0
1971,SIDS,4,0,1,0
1972,SIDS,6,0,1,0
1973,SIDS,6,0.17,0.83,0
1974,SIDS,3,0,1,0
1975,SIDS,5,0,1,0
1976,SIDS,5,0,1,0
1977,SIDS,12,0,1,0
1978,SIDS,9,0,1,0
1979,SIDS,14,0,1,0
1980,SIDS,10,0.1,1,0
1981,SIDS,10,0,1,0
1982,SIDS,7,0,1,0
1983,SIDS,12,0.08,1,0
1984,SIDS,14,0,1,0
1985,SIDS,12,0,1,0
1986,SIDS,12,0,1,0
1987,SIDS,13,0.08,1,0
1988,SIDS,12,0.42,0.75,0
1989,SIDS,18,0.44,0.67,0
1990,SIDS,17,0.47,0.71,0
1991,SIDS,22,0.59,0.59,0.05
1992,SIDS,19,0.58,0.63,0
1993,SIDS,23,0.39,0.83,0.04
1994,SIDS,21,0.24,0.95,0
1995,SIDS,18,0.61,0.94,0.11
1996,SIDS,21,0.52,0.81,0.05
1997,SIDS,21,0.62,0.67,0
1998,SIDS,23,0.57,0.61,0.04
1999,SIDS,20,0.3,0.75,0.05
2000,SIDS,26,0.46,0.92,0.04
2001,SIDS,33,0.52,0.82,0.09
2002,SIDS,31,0.55,0.87,0.13
2003,SIDS,33,0.39,0.91,0.09
2004,SIDS,34,0.47,0.91,0.06
2005,SIDS,31,0.52,0.87,0.03
2006,SIDS,31,0.65,0.9,0.16
2007,SIDS,36,0.97,0.61,0.22
2008,SIDS,37,0.97,0.73,0.27
2009,SIDS,37,0.97,0.76,0.35
2010,SIDS,36,0.94,0.72,0.39
2011,SIDS,36,0.94,0.89,0.33
2012,SIDS,36,0.92,0.75,0.19
2013,SIDS,35,0.89,0.8,0.23
2014,SIDS,37,0.95,0.92,0.49
2015,SIDS,35,1,0.8,0.34
2016,SIDS,37,1,0.81,0.35
2017,SIDS,37,0.97,0.76,0.19
2018,SIDS,36,1,0.78,0.39
2019,SIDS,37,0.97,0.73,0.35
2020,SIDS,37,0.95,1,0.81
2021,SIDS,37,1,1,0.76
